driver_name,normalized_driver_name,dp_drivers_pack_extended_sinks_signed_timeout300_run1,dp_drivers_pack_extended_sinks_signed_timeout300_run1_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_rw_primitive_count
BisUM6AA.sys,bisum6aa.sys,,4.211117506027222,0,0,0
BisUV4AA.sys,bisuv4aa.sys,,4.114311218261719,0,0,0
BisUV4B1.sys,bisuv4b1.sys,,4.266729831695557,0,0,0
BisUV4CA.sys,bisuv4ca.sys,,4.166224241256714,0,0,0
BisonC07.sys,bisonc07.sys,,3.781644821166992,0,0,0
BisonCam.sys,bisoncam.sys,,4.159046649932861,0,0,0
Boot_driver_dev.sys,boot_driver_dev.sys,timeout,300.03586745262146,0,0,0
BtFilter.sys,btfilter.sys,timeout,300.0307755470276,0,0,0
BtFilter_1.sys,btfilter_1.sys,timeout,300.0321161746979,0,0,0
BtL2caScoIf.sys,btl2cascoif.sys,,4.218026399612427,0,0,0
BtL2caScoIf_1.sys,btl2cascoif_1.sys,,4.11336874961853,0,0,0
BtTestDriver.sys,bttestdriver.sys,no sinks found,10.870275020599365,0,0,0
BtTestDriver_1.sys,bttestdriver_1.sys,no sinks found,10.845322132110596,0,0,0
BthAvrcp.sys,bthavrcp.sys,,4.055895805358887,0,0,0
BthAvrcp_1.sys,bthavrcp_1.sys,,4.204566717147827,0,0,0
BtwSerialBus.sys,btwserialbus.sys,,3.779568672180176,0,0,0
BtwSerialBus_1.sys,btwserialbus_1.sys,,3.8686881065368652,0,0,0
CAXHWAZL.sys,caxhwazl.sys,timeout,300.0133926868439,0,0,0
CAXHWAZL_1.sys,caxhwazl_1.sys,timeout,300.01332902908325,0,0,0
CAX_CNXT.sys,cax_cnxt.sys,timeout,300.07757234573364,0,0,0
CAX_CNXT_1.sys,cax_cnxt_1.sys,timeout,300.0821397304535,0,0,0
CAX_DPV.sys,cax_dpv.sys,timeout,300.01352047920227,0,0,0
CAX_DPV_1.sys,cax_dpv_1.sys,timeout,300.01785492897034,0,0,0
CH64USB.sys,ch64usb.sys,,3.805924654006958,0,0,0
CHDAU32.sys,chdau.sys,,4.053309440612793,0,0,0
CHDAU64.sys,chdau.sys,,3.8348546028137207,0,0,0
CHDMI32.sys,chdmi.sys,,4.051556348800659,0,0,0
CHDMI32_1.sys,chdmi32_1.sys,,3.971740484237671,0,0,0
CHDMI64.sys,chdmi.sys,,4.130420923233032,0,0,0
CHDMI64_1.sys,chdmi64_1.sys,,4.119128227233887,0,0,0
CHDRT64.sys,chdrt.sys,,4.176600217819214,0,0,0
CHDRT64HDA.sys,chdrt64hda.sys,,3.9023220539093018,0,0,0
CHDRT64HDA_1.sys,chdrt64hda_1.sys,,3.9215238094329834,0,0,0
