driver_name,normalized_driver_name,dp_drivers_pack_extended_sinks_signed_timeout300_run0,dp_drivers_pack_extended_sinks_signed_timeout300_run0_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run0_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run0_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run0_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1,dp_drivers_pack_extended_sinks_signed_timeout300_run1_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2,dp_drivers_pack_extended_sinks_signed_timeout300_run2_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run2_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run2_rw_primitive_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5,dp_drivers_pack_extended_sinks_signed_timeout300_run5_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run5_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run5_rw_primitive_count
qicflt.sys,qicflt.sys,no sinks found,4.22967267036438,0,0,0,no sinks found,4.905421257019043,0,0,0,no sinks found,4.908351898193359,0,0,0,no sinks found,8.66942572593689,0,0,0
rcblan.sys,rcblan.sys,,3.9755427837371826,0,0,0,,4.001358270645142,0,0,0,,3.5128602981567383,0,0,0,,8.71670413017273,0,0,0
rcblan_1.sys,rcblan_1.sys,,4.205037832260132,0,0,0,,4.083715915679932,0,0,0,,3.7186625003814697,0,0,0,,8.58803677558899,0,0,0
rcbottom.sys,rcbottom.sys,,4.129755735397339,0,0,0,,4.014410018920898,0,0,0,,6.024648189544678,0,0,0,,4.033967733383179,0,0,0
rcbottom_1.sys,rcbottom_1.sys,,3.9621851444244385,0,0,0,,3.842414379119873,0,0,0,,5.659245014190674,0,0,0,,4.175657272338867,0,0,0
rccfg.sys,rccfg.sys,no sinks found,4.249867677688599,0,0,0,no sinks found,4.450150728225708,0,0,0,no sinks found,4.385709047317505,0,0,0,no sinks found,8.300421953201294,0,0,0
rccfg_1.sys,rccfg_1.sys,no sinks found,4.146940231323242,0,0,0,no sinks found,4.405707597732544,0,0,0,no sinks found,4.2411487102508545,0,0,0,no sinks found,8.070539712905884,0,0,0
rcraid.sys,rcraid.sys,,4.075150489807129,0,0,0,,4.139945030212402,0,0,0,,4.018873929977417,0,0,0,,3.7960662841796875,0,0,0
rcraid_1.sys,rcraid_1.sys,,4.003231763839722,0,0,0,,4.08579683303833,0,0,0,,3.9686031341552734,0,0,0,,3.7739198207855225,0,0,0
revo51_64.sys,revo51.sys,,3.6858580112457275,0,0,0,,4.249147415161133,0,0,0,,4.32503080368042,0,0,0,,3.671666383743286,0,0,0
revo51_64_1.sys,revo51_64_1.sys,,3.844447612762451,0,0,0,,4.2066991329193115,0,0,0,,4.175334453582764,0,0,0,,3.625913619995117,0,0,0
revo71_64.sys,revo71.sys,,3.619490146636963,0,0,0,,3.826889991760254,0,0,0,,4.769006967544556,0,0,0,,3.53560733795166,0,0,0
revo71_64_1.sys,revo71_64_1.sys,,3.639341115951538,0,0,0,,3.8323814868927,0,0,0,,4.729154825210571,0,0,0,,3.525296926498413,0,0,0
rf1wdm.sys,rf1wdm.sys,,4.0627758502960205,0,0,0,,3.800532817840576,0,0,0,,6.014660358428955,0,0,0,,8.158950567245483,0,0,0
rf1wdm64.sys,rf1wdm.sys,,3.6604864597320557,0,0,0,,3.729069948196411,0,0,0,,7.525798082351685,0,0,0,,5.490356683731079,0,0,0
rf1wdm64_1.sys,rf1wdm64_1.sys,,3.8083081245422363,0,0,0,,3.62664532661438,0,0,0,,8.264007806777954,0,0,0,,6.748418569564819,0,0,0
rf1wdm_1.sys,rf1wdm_1.sys,,4.122052907943726,0,0,0,,3.584758996963501,0,0,0,,4.9082136154174805,0,0,0,,8.040072679519653,0,0,0
rf2wdm.sys,rf2wdm.sys,,3.769766092300415,0,0,0,,3.691976308822632,0,0,0,,7.967254638671875,0,0,0,,5.870149374008179,0,0,0
rf2wdm64.sys,rf2wdm.sys,,4.206841945648193,0,0,0,,4.185777187347412,0,0,0,,7.3227927684783936,0,0,0,,3.78304123878479,0,0,0
rf2wdm64_1.sys,rf2wdm64_1.sys,,4.201941251754761,0,0,0,,3.9804277420043945,0,0,0,,5.18989372253418,0,0,0,,3.690372943878174,0,0,0
rf2wdm_1.sys,rf2wdm_1.sys,,3.898216724395752,0,0,0,,3.666567087173462,0,0,0,,7.752674341201782,0,0,0,,4.892837047576904,0,0,0
rio.sys,rio.sys,,16.816404581069946,0,0,0,,13.308017492294312,0,0,0,,122.08214974403381,0,0,0,,86.82616662979126,0,0,0
rio_1.sys,rio_1.sys,,10.743942022323608,0,0,0,,58.72918200492859,0,0,0,,17.223541498184204,0,0,0,,31.68839716911316,0,0,0
rockusb.sys,rockusb.sys,no sinks found,34.7318332195282,0,0,0,no sinks found,34.639354944229126,0,0,0,no sinks found,53.74677276611328,0,0,0,no sinks found,85.88046979904175,0,0,0
